Dur Sec,Advertiser,Brand,Commercial Title,Film Code,Major Category,Mid Category,Minor Category,Holding Company,Sales House,Agency,TRP Copy ID,TRP Commercial ID,TRP Commercial Titles,TRP Copy First broadcast date,TRP Time Copy First broadcast,TRP Channel Copy First Aired,TRP Campaign First broadcast date,Amendment Status
30,EVERYTHING EVERYWHER,EE SAMSUNG GALAXY S25 ULTRA,Samsung Galaxy S25 Ultra Launch  Weeken,SSCEEDR131030,,,,EVERYTHING EVERYWHER,,ESSENCE GLOBAL LIMIT,,,,,,,,0
10,GOCOMPARE.COM,GOCOMPARE.COM,Feel the Tache Home,JWOCOMP038010,,,,GOCOMPARE.COM,,HEARTS & SCIENCE LIM,,,,,,,,0
20,SAMSUNG ELECTRONICS,SAMSUNG GALAXY S25 ULTRA GEMINI AI,Brand AI   Lina 20 (Buy now),CCESSGS524020,,,,SAMSUNG EUROPE,,STARCOM WORLDWIDE LI,,,,,,,,0
30,OMODA & JAECOO UK,JAECOO J SERIES CARS,Earn The Badge TV,WWYJAEC001030,,,,OMODA & JAECOO UK,,WAVEMAKER LIMITED,,,,,,,,0
20,DFS FURNITURE COMPAN,DFS FURNITURE,Winter Convert UK  Week 32,MCLDFPR273020,,,,DFS FURNITURE COMPAN,,ESSENCEMEDIACOM HOLD,,,,,,,,0
10,OMAZE,OMAZE.CO.UK HOUSE DRAW,Million Pound House Draw H035 NFK  LAUNCH,TNIOMNF031010,,,,OMAZE,,ALL RESPONSE MEDIA L,,,,,,,,0
30,TESCO STORES,TESCO MOBILE DRTV,Tesco  DRTV  Samsung S25 Ultra,TAGTOMO506030,,,,TESCO,,ESSENCEMEDIACOM HOLD,,,,,,,,0
30,PROCTER & GAMBLE UK,FAIRY POWER SPRAY,Fairy Power Spray,PGOFYHW021030,,,,PROCTER & GAMBLE UK,,STARCOM WORLDWIDE LI,,,,,,,,0
20,CHARACTER OPTIONS,C OPT CHILL FACTOR SLUSHY MAKER,Chill Factor Colour Shock,COLCFCS265020,,,,CHARACTER GROUP,,STORY 9 LTD,,,,,,,,0
30,DSG RETAIL,DSG CURRYS & PC WORLD STORES,Hotpoint,AMVDNEE886030,,,,DSG INTERNATIONAL,,SPARK FOUNDRY,,,,,,,,0
30,KEENS FURNITURE,KEENS FURNITURE,,VWTKEEN001030,,,,KEENS FURNITURE,,VISIONWORKS TELEVISI,,,,,,,,0
30,LIVE NATION,LIVE NATION DOOBIE BROTHERS TOUR,The Doobie Brothers  On Sale Today,GTCLNTD036030,,,,LIVE NATION,,SOLD OUT ADVERTISING,,,,,,,,0
30,DSG RETAIL,DSG CURRYS & PC WORLD STORES,Hoover,AMVDNEE884030,,,,DSG INTERNATIONAL,,SPARK FOUNDRY,,,,,,,,0
30,DSG RETAIL,DSG CURRYS & PC WORLD STORES,Hisense,AMVDNEE887030,,,,DSG INTERNATIONAL,,SPARK FOUNDRY,,,,,,,,0
30,NEILSON FINANCIAL SE,NEILSON FINANCIAL SMART INSURANCE,Teddy Bear 30  Jan 2025,SCCSMTB201030,,,,NEILSON FINANCIAL SE,,PHD MEDIA LIMITED,,,,,,,,0
30,PARAMOUNT PICTURES,PARAMOUNT PLUS VIDEO STREAMING,Landman S1  Channel 4  499 Pricepoint,BEVLAND002030,,,,PARAMOUNT PICTURES,,WAVEMAKER LIMITED,,,,,,,,0
